126	127
126	130
126	132
126	140
127	128
127	133
127	135
127	144
127	146
127	147
128	126
128	129
128	130
128	140
128	144
128	145
129	126
129	134
129	142
129	146
130	132
130	135
130	136
130	138
130	139
130	143
130	145
131	126
131	130
131	135
131	136
131	142
131	143
131	146
132	127
132	129
132	133
132	140
132	147
133	126
133	128
133	134
133	139
134	128
134	130
134	135
134	138
134	142
134	143
134	146
134	147
135	126
135	132
135	136
135	137
135	138
135	139
135	147
136	128
136	129
136	134
136	142
136	146
136	147
137	126
137	127
137	129
137	130
137	134
137	141
137	143
137	147
138	126
138	131
138	133
138	142
138	145
138	147
139	127
139	128
139	131
139	134
139	137
139	138
139	147
140	129
140	130
140	134
140	135
140	136
140	137
140	141
140	145
140	146
140	147
141	126
141	129
141	130
141	131
141	132
141	142
142	137
142	143
142	146
143	127
143	128
143	132
143	136
143	145
144	130
144	137
144	139
144	140
144	141
144	142
144	147
145	127
145	132
145	133
145	134
145	136
145	141
145	142
145	144
146	126
146	132
146	135
146	138
146	139
147	126
147	128
147	145
26	128
26	131
26	133
26	140
26	143
26	144
26	28
26	35
26	37
26	38
26	41
26	43
26	44
26	45
26	47
26	48
27	127
27	135
27	141
27	144
27	31
27	32
28	130
28	139
28	141
28	27
28	31
28	38
28	40
28	45
28	49
29	134
29	137
29	138
29	146
29	27
29	32
29	35
29	40
29	45
29	49
30	133
30	138
30	142
30	26
30	29
30	36
30	47
31	131
31	138
31	140
31	143
31	29
31	33
31	39
31	42
31	47
31	49
32	128
32	131
32	132
32	134
32	136
32	138
32	143
32	26
32	28
32	41
32	42
32	43
32	44
32	46
32	47
33	131
33	132
33	134
33	135
33	136
33	141
33	26
33	28
33	30
33	32
33	35
33	41
33	43
33	44
33	48
35	136
35	143
35	145
35	42
35	43
35	45
35	46
35	47
36	129
36	131
36	131
36	131
36	136
36	26
36	29
36	42
36	47
36	49
37	128
37	129
37	133
37	138
37	27
37	28
37	29
37	31
37	32
37	33
37	35
37	39
37	40
37	41
37	47
37	49
38	131
38	131
38	131
38	136
38	137
38	146
38	32
38	36
38	37
38	44
38	46
38	48
39	26
39	27
39	28
39	29
39	40
39	48
40	132
40	26
40	27
40	31
40	32
40	33
40	38
40	44
40	45
41	128
41	139
41	139
41	142
41	30
41	38
42	140
42	27
42	37
42	39
42	49
43	126
43	143
43	144
43	145
43	29
43	37
43	38
43	39
43	42
43	49
44	133
44	135
44	27
44	28
44	29
45	127
45	127
45	132
45	31
45	36
46	127
